0.73337,34.714,148.88,Happy
69.227,4.811,149.05,Happy
0.86819,1.7977,148.3,Happy
3.8194,2.7395,151.51,Happy
7.5907,2.9454,150.8,Happy
3.0485,4.0765,150.41,Happy
0.12828,2.9992,149.09,Happy
8.803,3.8616,147.69,Happy
4.4258,2.2884,145.66,Happy
0.98091,3.5337,144.62,Happy
0.59742,1.1813,143.35,Happy
3.4746,2.067,141.63,Happy
0.84515,1.1331,139.75,Happy
1.9951,2.2904,140.19,Happy
7.2383,3.9637,138.15,Happy
0.044614,1.7477,138.31,Happy
1.1879,2.3921,137.5,Happy
1.8758,2.6202,138.83,Happy
0.80479,2.8205,137.52,Happy
0.98277,2.3666,136.89,Happy
0.58778,4.0398,136.44,Happy
0.67745,2.878,135.86,Happy
12.455,18.324,134.88,Happy
0.56568,8.9032,131.82,Happy
0.50288,2.7022,129.41,Happy
3.1486,3.2507,128.07,Happy
0.29666,2.7997,127.13,Happy
0.60726,6.0761,126.14,Happy
0.4095,2.2289,124.32,Happy
3.1207,1.9058,122.77,Happy
0.31802,2.8815,121.72,Happy
0.14868,2.1877,120.68,Happy
0.33824,4.2533,119.12,Happy
1.8701,1.0105,116.81,Happy
1.5315,1.1578,115.45,Happy
1.3565,42.681,113.83,Happy
0.84759,2.2199,113.42,Happy
0.74302,2.5728,111.06,Happy
21.711,3.8585,110.39,Happy
8.3613,3.5004,110.48,Happy
0.50118,3.029,109.04,Happy
2.2802,2.08,107.66,Happy
1.3375,2.1657,107.23,Happy
7.3707,2.5814,105.32,Happy
1.6296,1.7587,105.25,Happy